Singular Value,APPLE_FRAME,AURORA_BOREALIS,BARN,BEACH,BOAT,BRIDGE,BUILDING,BUSHES,CABIN,CACTUS,CIRCLE_FRAME,CIRRUS,CLIFF,CLOUDS,CONIFER,CUMULUS,DECIDUOUS,DIANE_ANDRE,DOCK,DOUBLE_OVAL_FRAME,FARM,FENCE,FIRE,FLORIDA_FRAME,FLOWERS,FOG,FRAMED,GRASS,GUEST,HALF_CIRCLE_FRAME,HALF_OVAL_FRAME,HILLS,LAKE,LAKES,LIGHTHOUSE,MILL,MOON,MOUNTAIN,MOUNTAINS,NIGHT,OCEAN,OVAL_FRAME,PALM_TREES,PATH,PERSON,PORTRAIT,RECTANGLE_3D_FRAME,RECTANGULAR_FRAME,RIVER,ROCKS,SEASHELL_FRAME,SNOW,SNOWY_MOUNTAIN,SPLIT_FRAME,STEVE_ROSS,STRUCTURE,SUN,TOMB_FRAME,TREE,TREES,TRIPLE_FRAME,WATERFALL,WAVES,WINDMILL,WINDOW_FRAME,WINTER,WOOD_FRAMED
38.719845,-0.001081,0.003405,-0.003144,0.001049,-0.006305,0.001993,-0.003181,0.007912,-0.000380,0.006515,-0.006138,0.006189,-0.002275,0.000051,-0.000765,0.010230,-0.002746,0.007272,-0.016247,0.010642,-0.006306,0.012318,-0.011716,-0.020996,0.000987,0.008764,-0.051702,0.039877,0.108074,-0.047294,-0.004746,-0.053352,0.015524,0.030002,-0.024165,-0.049152,-0.122758,0.069480,0.001579,0.044551,-0.133857,-0.008304,-0.137379,-0.577661,0.248947,0.000524,0.001450,0.000985,0.002454,0.003132,0.011991,-0.011921,-0.021164,-0.003366,-0.024681,-0.002217,-0.015216,-0.004939,-0.019849,-0.012213,-0.003813,-0.000844,-0.000458,0.128656,0.000000,0.000000,0.707107
15.615766,-0.002886,-0.002155,-0.015080,0.006753,0.000818,0.002303,-0.006768,-0.006529,0.010553,0.000617,0.003942,0.021383,-0.001501,0.011179,-0.003990,0.006120,-0.006876,0.019548,0.025995,-0.018734,-0.009211,0.003870,-0.026350,0.006328,0.019773,0.027507,0.161183,-0.038383,0.012432,-0.036746,-0.009231,-0.049041,-0.027301,0.107463,-0.068912,-0.130743,-0.070384,-0.045094,-0.526861,0.160508,0.051854,-0.035613,-0.077600,0.042016,-0.018334,-0.657395,-0.004838,0.012864,0.001509,0.034566,-0.046048,-0.000180,0.033661,0.013848,-0.085672,0.002683,-0.127768,-0.128622,-0.255868,0.173078,0.043078,0.180498,-0.018520,0.001064,0.000000,0.000000,0.000000
14.041333,-0.018511,0.055305,-0.044429,0.057405,-0.004841,-0.051179,0.049860,-0.017368,0.006592,-0.009281,0.010363,-0.131795,-0.083018,-0.059051,0.175619,0.177689,0.043544,-0.205283,-0.407302,0.122568,-0.067841,0.159020,-0.008897,-0.197593,0.084747,0.016568,0.088378,-0.081789,-0.534216,0.118997,0.052428,-0.184572,0.009541,0.060049,-0.004704,-0.144741,-0.366258,0.124842,0.005896,0.136164,-0.005893,-0.012966,-0.102608,0.067407,0.020737,0.062465,0.005273,-0.007210,0.002479,-0.015773,0.017191,-0.021640,-0.003273,0.017886,0.014026,0.003024,-0.000804,0.007907,0.144522,-0.023675,0.062000,0.052970,-0.028874,0.000845,0.000000,-0.000000,-0.000000
13.202227,-0.009700,-0.004088,0.178919,0.214519,0.007935,0.029649,-0.120031,0.081785,0.073928,0.028178,0.274538,0.009599,0.048544,0.079284,-0.048333,0.149802,0.056281,0.076377,0.007266,-0.058238,-0.023578,0.102424,0.128637,0.105154,-0.100669,-0.045354,-0.177673,0.062489,-0.134361,0.013054,-0.134058,-0.063968,-0.026051,0.440706,-0.284652,-0.467243,0.315699,0.051664,0.040879,-0.106604,0.067954,-0.012718,0.047907,-0.039929,-0.036362,0.073282,0.000107,0.001852,0.001729,-0.005550,-0.004593,-0.002806,-0.000456,-0.006378,0.017514,0.001791,0.006631,0.005319,-0.016950,-0.062680,-0.021701,0.122399,-0.022323,0.000316,-0.000000,0.000000,0.000000
11.388731,-0.001382,0.002749,0.007262,0.012528,-0.008208,-0.004133,-0.001760,0.014364,0.000671,-0.012295,-0.001494,0.006680,0.005759,0.007254,-0.013979,0.006442,-0.010971,-0.019265,-0.020176,-0.005703,-0.024312,0.023803,0.048114,-0.020689,0.000844,-0.023583,0.001187,-0.005133,0.069112,0.040843,0.003133,0.051852,-0.064373,0.054638,0.023471,0.036887,0.283063,-0.063100,0.103343,0.717110,-0.003399,-0.016814,-0.249261,0.072341,0.056187,0.059506,-0.000951,-0.006014,0.001092,-0.010517,0.026558,-0.002631,-0.011131,0.049461,-0.027335,-0.014467,0.043129,0.082497,0.052882,-0.013459,0.078303,0.082036,0.512914,0.001562,-0.000000,-0.000000,-0.000000
9.603190,-0.008133,0.025791,-0.018105,0.004838,0.002595,-0.006588,-0.020068,0.012868,-0.019177,0.051928,-0.006321,-0.005140,-0.038109,0.001609,0.025291,0.034516,0.022333,0.023751,-0.058666,0.058027,-0.067879,0.098364,-0.026194,-0.051061,-0.005855,0.057720,-0.190571,0.190385,0.529550,-0.270789,-0.161054,0.140685,0.054945,0.031217,-0.110592,-0.286722,-0.497632,0.091088,0.045629,0.113570,0.060163,-0.000984,-0.072714,0.285663,-0.042762,0.053215,0.003257,0.001840,0.003041,-0.003183,0.009972,0.003367,0.016067,0.016382,0.020435,0.007357,0.026074,0.057846,0.121208,-0.006832,0.053705,0.050042,-0.034665,-0.002759,-0.000000,-0.000000,0.000000
9.131372,-0.001081,0.003405,-0.003144,0.001049,-0.006305,0.001993,-0.003181,0.007912,-0.000380,0.006515,-0.006138,0.006189,-0.002275,0.000051,-0.000765,0.010230,-0.002746,0.007272,-0.016247,0.010642,-0.006306,0.012318,-0.011716,-0.020996,0.000987,0.008764,-0.051702,0.039877,0.108074,-0.047294,-0.004746,-0.053352,0.015524,0.030002,-0.024165,-0.049152,-0.122758,0.069480,0.001579,0.044551,-0.133857,-0.008304,-0.137379,-0.577661,0.248947,0.000524,0.001450,0.000985,0.002454,0.003132,0.011991,-0.011921,-0.021164,-0.003366,-0.024681,-0.002217,-0.015216,-0.004939,-0.019849,-0.012213,-0.003813,-0.000844,-0.000458,0.128656,0.000000,-0.000000,-0.707107
8.849622,-0.172567,-0.035716,0.077996,-0.175475,-0.134283,0.400670,0.030761,-0.136102,-0.648873,-0.188345,0.449398,0.053588,0.144871,-0.079910,0.080017,-0.089327,0.040145,-0.121493,-0.040649,0.060018,-0.029396,-0.003404,-0.004654,0.033446,0.040183,0.013367,0.048334,-0.014138,0.013790,-0.025984,-0.019840,0.009115,0.016237,-0.011486,-0.015050,0.002051,-0.006718,-0.009221,0.000485,0.009258,-0.001663,-0.009669,0.001654,-0.008166,-0.002385,0.000150,0.001414,0.000991,-0.000744,0.010210,0.007047,-0.006201,0.003623,0.006923,-0.001785,0.010727,-0.007913,0.009555,-0.001085,0.001070,0.001189,-0.008346,-0.001655,0.001739,-0.000000,0.000000,0.000000
8.820639,-0.096897,0.069047,-0.257753,0.209739,0.052548,-0.320467,-0.093109,-0.024351,-0.294757,0.134548,0.044909,0.278576,0.126402,0.126204,-0.217896,-0.171285,-0.081033,0.096735,0.340361,-0.069711,0.070946,-0.222796,0.049325,0.190018,0.001090,-0.107855,0.106461,-0.015324,-0.209443,0.092519,0.072697,-0.076763,0.004054,0.031597,-0.071311,-0.089654,-0.290242,0.080395,0.048662,0.108418,-0.022201,-0.002799,-0.075292,0.040765,0.007161,0.061447,-0.000436,-0.000664,0.000003,-0.004402,0.001354,0.003342,0.000672,0.012845,-0.004717,-0.005333,0.022839,0.045310,0.104116,-0.020797,0.052648,0.048648,-0.029340,0.000490,-0.000000,-0.000000,-0.000000
8.027631,-0.001537,-0.006737,0.009929,0.010228,-0.002768,-0.020014,0.020357,0.022334,-0.014643,0.016966,-0.010823,-0.050142,0.008948,-0.024381,0.082850,-0.020498,-0.052584,-0.016256,0.053566,-0.037609,-0.022958,0.020146,0.063533,0.081251,0.060246,0.108740,0.048094,-0.024064,0.040674,-0.077963,-0.044332,-0.042589,0.022108,-0.086191,-0.012052,0.116627,0.179450,0.920528,-0.125417,0.043330,-0.024672,-0.066228,0.067578,0.053882,-0.013528,0.011020,0.008576,0.007559,-0.001548,-0.015338,0.012030,0.003284,0.036437,-0.005084,0.029333,-0.049332,0.013431,0.007258,-0.015935,-0.030154,0.001490,0.017281,0.010115,0.002815,0.000000,0.000000,-0.000000
